,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,K_index
0,1.2522592863132807e-17,0.677650779665584,0.0,-0.0,"[array([ 0., 40.]), array([19.50855102, 35.86983284])]",0.01818037619854344,0.005695751866205167,-0.05833196919543236,0.010674460731050703,1.4984792678016845,[0]
1,0.0,-0.0,9.229436185391724e-18,0.4332200079809823,"[array([111.83166787,  20.        ]), array([-19.74458255,  20.        ])]",0.09182592730629364,0.0018765669923180817,-0.12963574341127623,0.010569558862832432,1.1324734046266631,[1]
2,2.8046547686986424e-17,1.3324473226953917,1.3152356547663566e-17,0.4619790388596303,"[array([-74.39897006,  20.        ]), array([37.08817276, 28.1356066 ])]",0.06890897167035516,-0.010574096963779697,-0.17394457444208458,0.010466110709496289,0.5703467096011002,[2]
3,5.1047523482103756e-17,2.508125824936749,0.0,-0.0,"[array([-33.79313983,  20.        ]), array([-152.62987917,   20.        ])]",-0.042588943089153,-0.04837140345035401,0.08877515820916146,0.01036415980121719,0.25163206005635363,[3]
4,2.0020177273896523e-17,0.9554717901552899,1.9958767733477765e-17,0.711979302115358,"[array([-2.11280955, 22.92526501]), array([-46.64402063,  20.        ])]",0.11259981117425627,0.24396018184053786,0.10478342936279456,0.010263750754947908,0.4901496992198803,[4]
5,4.9220191216441263e-17,1.8759832930262559,7.440451801163275e-18,0.20871586470019893,"[array([46.47381463, 20.        ]), array([ 0.60530993, 35.31258115])]",0.12274469920985509,0.20222666308002754,0.34992622566861686,0.010164929262254542,0.49995247099599305,[5]
6,2.1736495201237368e-17,1.3726772624557104,2.3658982739313196e-18,0.11120458193351214,"[array([-26.80591727,  20.        ]), array([85.6041934, 20.       ])]",-0.002920410741422378,-0.07833759256629852,-0.08582697485971329,0.010067742071924112,0.41274675737425603,[6]
7,2.2509309357146508e-17,1.6063681250096584,0.0,-0.0,"[array([214.95384331,  84.43909209]), array([353.98991231,  20.        ])]",0.11142971406027324,0.05278016517593113,-0.06877871662823828,0.009972236966684537,0.7211769435634688,[7]
8,0.0,-0.0,3.588953900916693e-17,0.6276591265608579,"[array([-81.08912437,  20.        ]), array([-68.72899992, 100.        ])]",0.05154697966364511,0.18534859880593524,-0.05502068143646411,0.009878462733918797,0.7903992763175154,[8]
9,3.747599368768256e-17,1.8915532290118755,2.7644010606889417e-19,0.010292410678284618,"[array([-7.89914561, 20.        ]), array([106.44736643,  39.36720132])]",0.08677270132346339,0.07113923589365165,-0.027801687699733336,0.009786469129547667,0.7258632064085379,[9]
10,2.8390520278966296e-17,1.008048052885065,0.0,-0.0,"[array([ 0., 40.]), array([-8.72717851, 66.18583946])]",0.08108460189353227,0.039534171556962566,-0.06540283482717883,0.009696306834817425,0.8737479975789554,[10]
11,3.839641557182147e-17,1.5237846408824376,1.9651764480652624e-17,0.5732946984888468,"[array([-156.29042476,  300.        ]), array([ 7.44537637, 55.61940498])]",0.21693735787552906,0.1046616667341688,-0.01936206494283841,0.009608027405197766,0.9538478371466008,[11]
12,1.4131434834698837e-17,0.6617570447450682,3.348151619245263e-17,1.1543902427052088,"[array([-75.4508324,  20.       ]), array([73.38237001, 46.64484796])]",0.0864267739709397,0.13761697770749678,-0.014244391927899913,0.009521683211261402,1.0369271148595642,[12]
13,1.3362928500622387e-17,0.8120258769286293,0.0,-0.0,"[array([73.21484639, 97.55827309]), array([-111.34203873,   28.94722816])]",0.15796974431243913,0.050250260986984804,-0.056671230094755026,0.009437327370888364,0.8813026309831042,[13]
14,2.7463689760851977e-17,0.6617758208580028,0.0,-0.0,"[array([103.17036745,  55.85026987]), array([-96.82963255,  98.87146173])]",0.214733677232803,0.04559485051842035,-0.059781324581767055,0.00935501367224238,0.8906723788279757,[14]
15,3.2868583425332684e-17,1.2971844221724258,0.0,-0.0,"[array([-17.85993849,  20.        ]), array([-210.00402389,   54.65612975])]",0.15636170605130503,0.02703533408120286,0.014494168786019869,0.009274796487408591,1.0209467943384831,[15]
16,1.4413293277292265e-17,1.0854722477335037,1.4667208481603173e-17,0.819901848798713,"[array([30.62692148, 20.        ]), array([217.20118161,  20.        ])]",0.11277091008325431,0.09155154488054307,-0.014167359085220608,0.009196730676220734,1.073523889884018,[16]
17,0.0,0.0,3.647679789341094e-17,0.83473016272079,"[array([51.72202249, 27.80128888]), array([221.43123179,  74.94261712])]",0.0544137191158808,0.10165005681708776,-0.022921939610135837,0.009120871479843706,0.9821021458886718,[17]
18,1.3442088742525556e-17,1.018330049842879,0.0,-0.0,"[array([-53.76345591,  20.        ]), array([-180.79010975,   20.        ])]",-0.036267692064799524,-0.02713262067159601,-0.0732526945661068,0.0090472744042213,1.0651878684770928,[18]
19,1.1211902314120276e-17,0.39374838029296594,2.2573749980620136e-17,0.5816838831017133,"[array([29.03720121, 20.        ]), array([193.1487366 ,  63.38220158])]",0.02298634956815128,0.017264937976174656,-0.1338107282009503,0.008975995093122656,1.230319085695643,[19]
20,2.7506094045195048e-17,1.0036913214786856,0.0,0.0,"[array([190.57604358, 118.59034143]), array([335.86506922,  64.10389964])]",0.059568969540973356,0.07916622183853804,-0.11918108962615859,0.008907089190697494,0.9691528090317812,[20]
21,9.524962249984705e-18,0.6957819921024252,1.2491095081545662e-17,0.6813105645503751,"[array([-115.72061574,   23.815112  ]), array([19.02945624, 20.        ])]",0.08795941309726345,0.05846426888448398,-0.09179145658588608,0.008840612193910123,1.0824963118220081,[21]
22,1.7503425447580086e-17,1.2519886267676512,0.0,0.0,"[array([-49.60900104,  20.        ]), array([123.06200341,  20.        ])]",0.09515011755585588,0.0981561021145571,-0.05200013432677049,0.008776619294909981,1.0475717527551833,[22]
23,0.0,0.0,1.3070950340508755e-17,0.7016003598347389,"[array([13.87662894, 20.        ]), array([206.26545163,  20.        ])]",-0.0008135503126480646,0.07119893708972871,-0.06297478067542038,0.00871516521389329,1.2146038609555572,[23]
24,1.1611863428916664e-17,0.8658167788099363,0.0,-0.0,"[array([ 3.59715118, 20.        ]), array([-142.35758655,   20.        ])]",0.0487315661335249,0.10061443760145328,-0.093218433579462,0.00865630402284481,1.4036498027860447,[24]
25,1.050770869305933e-17,0.7744470129386978,5.5797461711773864e-18,0.306282929641499,"[array([-8.07282815, 20.        ]), array([20.10466901, 20.        ])]",-0.0021377651221753716,-0.04095698482869459,-0.11166482522355423,0.008600088961110348,1.1532977410844596,[25]
26,3.129141274017884e-17,2.2195560876979523,1.6723674806588101e-18,0.08891962134355406,"[array([ 4.00718167, 20.        ]), array([ 6.48712508, 20.        ])]",0.061534048799520305,-0.018278240161848282,-0.13498976817614167,0.00854657224359994,1.3471157145855182,[26]
27,3.591999018774814e-17,2.350510164740442,0.0,0.0,"[array([-24.70767561,  53.18095526]), array([-0.8364458 , 24.35901459])]",0.06470680133280364,0.03170033007527325,-0.0903196969474442,0.008495804862632367,1.339877464979055,[27]
28,2.2848240535943447e-17,1.6321399259248501,0.0,-0.0,"[array([-9.37571978, 20.        ]), array([-17.6810359,  20.       ])]",0.05444241088632496,0.0710231431205605,-0.11519882866788665,0.00844783638486278,1.285316187135863,[28]
29,2.4492649860135386e-17,1.80967140778364,1.2991365727733063e-18,0.07178942718916113,"[array([-37.79890986,  24.01009182]), array([-27.24799113,  20.        ])]",0.1304490453634993,0.046347561537460516,-0.13009292741151193,0.00840271474464603,1.4772237551450358,[29]
30,1.2467825395160754e-17,0.8215003557490288,0.0,-0.0,"[array([26.96093132, 20.        ]), array([-170.93055199,   25.80703867])]",0.17038031868284298,0.057167241445512135,-0.10926063984051225,0.008360486035341367,1.2234799324820447,[30]
